courseCode,courseName
76,Beginner JavaScript Project â€“ Snake Game Tutorial
180,Deep Reinforcement Learning in Python Tutorial - A Course on How to Implement Deep Learning Papers
263,Gatsby Static Site Generator Tutorial
61,Augmented Reality for Everyone - Full Course
577,Rust Project Tutorial â€“ Authentication Server Using Warp + JWT
12,"A Brief History of JavaScript, talk by Brendan Eich (creator of JavaScript)"
177,Deep Learning Course for Beginners
224,Firebase â€“ Full Course for Beginners
82,Blazor WebAssembly & Web API on .NET 6 â€“ Full Course (C#)
655,Unity GameDev Tutorial for Beginners: Brick Breaker Game
114,Bulma CSS Framework - complete tutorial
466,Microservice Architecture and System Design with Python & Kubernetes â€“ Full Course
636,The Five Ws of Atomic Design
372,JavaScript Christmas Calendar Tutorial ðŸŽ„
90,Build Your Own SaaS - PagerDuty Clone. You'll Learn PostgreSQL + Stripe API + Twilio + SMTP
315,How to Create a Portfolio Website
38,Algorithmic Trading Using Python - Full Course
425,Learn Supabase (Firebase Alternative) â€“ Full Tutorial for Beginners
208,Easily Automate Business Tasks â€“ No-Code Automation Course
83,Blockchain Development: Querying with Open APIs Course
610,"Spring Boot, Spring Security, JWT Course â€“ Shopping Cart Backend Java Project"
526,Prompt Engineering for Web Devs - ChatGPT and Bard Tutorial
19,APIs for Beginners - How to use an API (Full Course / Tutorial)
604,Solve Coding Interview Backtracking Problems - Crash Course
301,How I built and launched a chatbot over the weekend
6,"24 CSS Projects: Loading Animations, Progress Bars, Flashcards & More!"
560,React Native MacOS App Tutorial â€“ Book Management System
249,Full Stack Todo List Tutorial using Vue.js & AdonisJs
371,JavaScript / jQuery GameDev Tutorial: Catch the Eggs
187,Develop an AI to play Connect Four - Python Tutorial
669,Web Application Ethical Hacking - Penetration Testing Course for Beginners
654,Unity 3D Tutorial - Beat Em Up Fight Game
36,Advanced OpenGL - Crash Course
664,Visual Studio Code Full Course - VS Code for Beginners
28,AWS Solutions Architect Associate Certification (SAA-C03) â€“ Full Course to PASS the Exam
464,Memory Card Game - JavaScript Tutorial
480,Multithreading for Beginners
50,AngularJS tutorial: recipe box
446,Linux Operating System - Crash Course for Beginners
689,Writing Code like a Real Hacker (VS Code Macro Extension)
174,Day in the life of a freelance developer and mom
26,AWS Certified Solutions Architect - Associate 2020 (PASS THE EXAM!)
292,HTML/CSS Tutorial - Build a Beautiful Blog
261,GameDev with JavaScript and Kaboom.js â€“ Metroidvania Game Tutorial
1,10 Common Coding Interview Problems - Solved!
37,Advanced OpenGL Tutorial â€“ Skeletal Animations with Assimp
233,Free Foundational C# Certification from Microsoft â€“ Full Course
408,Learn High-Level System Design by Coding YouTube â€“ Full Course
566,React with .NET Web API â€“ Basic App Tutorial
428,Learn Terraform with Google Cloud Platform â€“ Infrastructure as Code Course
243,Full Gitpod Course â€“ ExamPro Cloud Developer Environment Certification
102,Build a Social Media App with Django â€“ Python Web Framework Tutorial
675,"Web Workers, Service Workers, and PWAs"
648,TypeScript GameDev Tutorial â€“ Create an Arkanoid Game
557,React Native - Intro Course for Beginners
245,"Full React Course 2020 - Learn Fundamentals, Hooks, Context API, React Router, Custom Hooks"
178,Deep Learning Crash Course for Beginners
10,3d Layer Effect: CSS Tutorial (Day 26 of CSS3 in 30 Days)
314,How to Code Like a Pro (with Dylan Israel)
453,MASTER your coding interview
275,Go Programming â€“ Golang Course with Bonus Projects
380,JavaScript Security Vulnerabilities Tutorial â€“ With Code Examples
160,"Data Analysis with Python - Full Course for Beginners (Numpy, Pandas, Matplotlib, Seaborn)"
552,React Coding Interview Prep â€“ 30 Questions and Answers
25,AWS Certified Cloud Practitioner Training 2020 - Full Course
47,Angry Birds Coding Tutorial - CS50's Intro to Game Development
373,JavaScript Classes Tutorial
326,How to achieve reusability with React components
199,Dr. Chuck reads C Programming (the classic book by Kernigan and Ritchie)
440,Linear Algebra - Full College Course
325,How to Undo Mistakes With Git Using the Command Line
274,Go Programming Tutorial â€“ 3 Beginner Projects
445,Linux Essentials for Ethical Hackers - Full InfoSec Course
586,SQLite Databases With Python - Full Course
639,The History of JavaScript: a timeline of programming language evolution over the past 20 years
490,Nuxt 3 â€” Course for Beginners
657,Unreal Engine Tutorial - Create a 2D Snake Game [Code + Assets]
334,How to stream on YouTube using OBS - in-depth OBS tutorial
565,React Tutorial: Build an e-commerce site from scratch using React and Netlify
640,The State of AI with Stanford Researcher Yifan Mai [Podcast #149]
105,Build a blazing fast website with GatsbyJS and Contentful
207,ESLint Quickstart - find errors automatically
170,"Data Visualization with D3, JavaScript, React - Full Course [2021]"
520,Pricing Table: CSS Tutorial (Day 10 of CSS3 in 30 Days)
332,How to ship code faster using continuous integration and delivery
633,The All Powerful Front End Developer - Chris Coyier
578,S3 Operations with AWS Lambda
367,Java Native Interface (28-Hour Course)
122,CSS Grid Course
87,Build 5 Dapps on the Ethereum Blockchain - Beginner Tutorial
600,Simon Game JavaScript Tutorial for Beginners
86,Build 25 React Projects â€“ Tutorial
437,Lessons from Freelancing for Dozens of Startups with Eddie Jaoude [Podcast #141]
346,Intro to AI Engineering â€“ OpenAI JavaScript Tutorial
429,Learn Three.js by Building 5 Projects
4,20 Beginner Python Projects
691,"YouTube Clone â€“ T3 Stack Tutorial (Next.js, TypeScript, Tailwind CSS)"
191,Digital Ocean Tutorial â€“ Deploy Django and Other Frameworks
323,"How to Raise a Tech Family, talk by 15-year-old programmer and her father"
69,Azure Solutions Architect Expert Certification Course (AZ 305) â€“ Pass the Exam!
420,Learn React 18 with Redux Toolkit â€“ Full Tutorial for Beginners
71,Bash Scripting Tutorial for Beginners
305,How a breakdancing injury launched a coding empire with Scott Tolinski [Podcast #152]
563,React Router 6 â€“ Tutorial for Beginners
597,Sexy Registration Form: CSS Tutorial (Day 4 of CSS3 in 30 Days)
452,Low-Code for Freelance Developers & Startups â€“ Tutorial
497,OpenCV Python Course - Learn Computer Vision and AI
650,Ultimate Freelancing Guide for Web Developers (Make money through freelance programming!)
162,"Data Analyst Bootcamp for Beginners (SQL, Tableau, Power BI, Python, Excel, Pandas, Projects, more)"
582,SQL For Web Developers - Complete Database Course
385,Javascript Project Tutorial: Budget App
56,Arduino Course for Everybody
310,How to Build a Discord Bot - Full JavaScript Chatbot Tutorial
287,Great Design With User Research - Design a Mobile App Using Figma
278,Go for Absolute Beginners â€“ Tutorial
472,Microsoft Excel Tutorial for Beginners - Full Course
421,Learn React JS - Full Beginnerâ€™s Tutorial (2024) & Practice Projects
431,Learn Vite â€“ Frontend Build Tool Course
386,Keras with TensorFlow Course - Python Deep Learning and Neural Networks for Beginners Tutorial
359,Introduction to Programming and Computer Science - Full Course
602,Software Engineering Job Interview â€“ Full Mock Interview
244,Full HTTP Networking Course â€“ Fetch and REST APIs in JavaScript
313,How to Clone a GitHub Repository for Beginners
322,How to Outsmart AI as a Developer with Dr. Chuck [Podcast #127]
540,Python Online Multiplayer Game Development Tutorial
99,Build a Node.js API - tutorial
607,Spring AI Full Course with Projects â€“ Build Smarter Spring Boot Applications
676,Web application security: 10 things developers need to know
53,Apache Cassandra Database â€“ Full Course for Beginners
383,JavaScript Tutorial - PuzzleCam Game
214,Emotional Intelligence for Engineers
462,Meet the Software Engineer Who Abandoned her Successful Music Career â€“ freeCodeCamp Podcast
410,Learn Java 8 - Full Tutorial for Beginners
398,Learn Data Science Tutorial - Full Course for Beginners
527,Pug Template Engine - Full Tutorial for Beginners
93,Build a Dev Portfolio as a 2D Game â€“ JavaScript Course
545,Python and Pygame Tutorial - Build Tetris! Full GameDev Course
374,JavaScript Course for Beginners 2024
229,"Flutter Full Stack Tutorial â€“ Spotify Clone w/ MVVM Architecture, Python, FastAPI, Riverpod"
16,API Documentation Best Practices â€“ Full Course
96,Build a Linux System - Live Tutorial
388,Kubernetes Course - Full Beginners Tutorial (Containerize Your Apps!)
81,Blazor Server App with .NET 6 and Syncfusion UI Components â€“ Full Course
451,Low-Code Tutorial â€“ Build 3 Financial Apps (Full Course)
281,Google Interview Question: How to Code a Queue Using a Stack. Whiteboard Wednesday by Irfan Baqui
54,Applied Deep Learning with PyTorch - Full Course
24,AWS Certified Cloud Practitioner Certification Course (CLF-C02) - Pass the Exam!
568,Recursion in software development
195,Django REST Framework Course â€“ Build Web APIs with Python
120,CSS Flexbox Crash Course
539,Python NumPy Tutorial for Beginners
34,"Advanced Git Tutorial - Interactive Rebase, Cherry-Picking, Reflog, Submodules and more"
300,How I Landed My Dream Software Job in 12 Months
227,Flutter App Development Course â€“ Build a Twitter Clone with Appwrite and Riverpod
583,SQL Server Performance Essentials â€“ Full Course
507,Panel: Artificial Intelligence and Machine Learning
128,Calculus 1 - Full College Course
688,Why software engineers disagree about everything - talk by Haseeb Qureshi
339,In-Depth React Tutorial: Build a Hotel Reservation Site (with Contentful and Netlify)
264,GenAI Essentials â€“ Full Course for Beginners
581,SQL Database App with Windows GUI â€“ Project Tutorial
447,Linux Server Course - System Configuration and Operation
44,Android Development for Beginners - Full Course
135,Code Your Own Heroku Clone with Python â€“ Provision Infrastructure Programmatically Tutorial
333,How to start a coding YouTube channel (with tips from a bunch of successful creators!)
150,Create A 2.5D Platformer Game With Unreal Engine (Tutorial)
392,Learn ASP.NET Core 3.1 - Full Course for Beginners [Tutorial]
396,Learn Bootstrap by creating a custom admin theme - Intermediate Tutorial
295,Harvard CS50â€™s Artificial Intelligence with Python â€“ Full University Course
260,Game Development with LÃ–VE 2D and Lua â€“ Full Course
564,React Testing Course for Beginners â€“ Code and Test 3 Apps
45,"Android Programming Course - Kotlin, Jetpack Compose UI, Graph Data Structures & Algorithms"
141,Coding for a Swedish Startup - a day in the life of Amber Wilkie
192,"Django 3 Course - Python Web Framework (+ pandas, matplotlib, & more)"
149,Connect Four with Javascript & jQuery - Tutorial
216,"Event-Driven Architecture Course â€“ NextJS, Clerk, Webhooks"
414,Learn Kotlin Programming â€“ Full Course for Beginners
449,Logging in JavaScript Best Practices
522,Productivity as a Developer â€“ Full Course
293,Hacking Web Performance
625,"Task Manager Coding Project Tutorial â€“ Next.js, React, Prisma, MongoDB"
290,HTML & Coding Introduction â€“ Course for Beginners
460,Maths for Programmers Tutorial - Full Course on Sets and Logic
65,Azure AI Fundamentals Certification 2024 (AI-900) - Full Course to PASS the Exam
136,"Code a 2D Game Using JavaScript, HTML, and CSS (w/ Free Game Assets) â€“ Tutorial"
173,Day in the life of a PayPal software engineer
182,"Deploy 12 apps to AWS, Azure, & Google Cloud"
442,Linked Lists for Technical Interviews - Full Course
35,Advanced Music Production with FL Studio â€“ Tutorial
573,Reinforcement Learning Course: Intro to Advanced Actor Critic Methods
167,Data Structures Easy to Advanced Course - Full Tutorial from a Google Engineer
282,Google Sheets - Full Course
677,"Web3 Course Walkthrough on freeCodeCamp.org (Rust, Blockchain Development, and Smart Contracts)"
665,Vue.js & Firebase Tutorial - Real-time Chat
273,GitHub Foundations Certification Course â€“ Pass the exam in 10 hours!
103,Build a Stable Diffusion VAE From Scratch using Pytorch
647,Tweet Visualization and Sentiment Analysis in Python - Full Tutorial
14,"AI Foundations Course â€“ Python, Machine Learning, Deep Learning, Data Science"
575,Revit Tutorial for Beginners - Building Information Modeling [3D Design Course]
327,How to get Machine Learning Skills without doing a PhD in Math [Podcast #133 with Daniel Bourke]
161,Data Analysis with Python for Excel Users - Full Course
179,Deep Learning for Developers
485,NestJs Course for Beginners - Create a REST API
345,Interview Tips from a Senior Software Engineer... and a 4 year old
390,LangChain Crash Course for Beginners
459,Master Behavioral Interviews (for Software Engineers)
222,Figma Variants â€“ Design a Scalable Mobile App [Full Course]
531,Python - Intro to Computer Science - Harvard's CS50 (2018)
667,"Web App Tutorial - JavaScript, Mobile First, Accessibility, Persistent Data, Sass"
670,"Web Applications for Everybody Course - Dr. Chuck Teaches HTML, PHP, SQL, CSS, JavaScript, and more!"
7,2D Wave Defense Game â€“ GDevelop GameDev Tutorial
94,"Build a Full Stack Book Store App Using React, Node, MongoDB"
18,API integration Course â€“ Modern Python with FastAPI
46,Android Studio Tutorial - Build a GPS App
138,Code a Discord Bot with JavaScript - Host for Free in the Cloud
668,Web App Vulnerabilities - DevSecOps Course for Beginners
489,Non-Technical Intro to Generative AI
100,Build a Robinhood-Style Android App to Track COVID-19 Cases - Kotlin Tutorial
258,Functional Programming in Scala
561,React Native Tutorial - Augmented Reality Mobile App
461,Matplotlib Crash Course
580,SPSS for Beginners - Full Course
284,Graph Algorithms for Technical Interviews - Full Course
166,Data Structures - Full Course Using C and C++
308,How to Build Relationships in the Tech Community
228,Flutter Course â€“ Build Full Stack Google Docs Clone
209,Easily Build an Airbnb Clone with Sharetribe - Tutorial
432,"Learn the MERN Stack - Full Tutorial (MongoDB, Express, React, Node.js)"
632,The 50 Most Popular Linux & Terminal Commands - Full Course for Beginners
417,Learn PostgreSQL Tutorial - Full Course for Beginners
329,How to get a FAANG Dev Job in your 40s with Coding Interview University creator John Washam [#134]
508,Parallax Tutorial - Scrolling Effect using CSS and Javascript
13,A Gentle Introduction to Data Science - talk by Marc Garcia
494,One-Click AI Web Development Tutorial - Learn how to Turn Figma Designs into Working Code using AI
110,"Build and Deploy a LeetCode Clone with React, Next JS, TypeScript, Tailwind CSS, Firebase"
381,JavaScript Snake Game Tutorial Using Functional Programming
60,"Asynchronous JavaScript Course â€“ Async/Await , Promises, Callbacks, Fetch API"
130,ChatGPT Clone â€“ OpenAI API and React Tutorial
517,Practical TypeScript â€“ Course for Beginners
666,Web App Testing with WebdriverIO - Crash Course
197,Docker Tutorial for Beginners - A Full DevOps Course on How to Run Applications in Containers
476,Mojo Programming Language â€“ Full Course for Beginners
241,"Frontend Web Development Bootcamp Course (JavaScript, HTML, CSS)"
612,Stardew Valley Game Clone with Python and Pygame â€“ Full Course
589,Scikit-Learn Course - Machine Learning in Python Tutorial
79,Big O: How Code Slows as Data Grows
158,DaVinci Resolve Course - Video Editing for Beginners (2024)
217,"FARM Stack Course - FastAPI, React, MongoDB"
456,Machine Learning Foundations Course â€“ Regression Analysis
631,Tezos Blockchain Developer Course â€“ Python Web3 Development
85,Build 15 JavaScript Projects - Vanilla JavaScript Course
225,Flask Course - Python Web Application Development
558,React Native Course â€“ Android and iOS App Development
39,Algorithms Course - Graph Theory Tutorial from a Google Engineer
365,Java Basics â€“ Crash Course
591,Scrum in 16 minutes
196,Docker Containers and Kubernetes Fundamentals â€“ Full Hands-On Course
635,The Ethics of AI & Machine Learning [Full Course]
441,Linear Algebra Course â€“ Mathematics for Machine Learning and Generative AI
330,How to hack a Node app
143,College Precalculus â€“ Full Course with Python Code
188,Developer Career Questions ANSWERED (featuring a bunch of experienced developers)
493,Oh My Zsh Creator Robby Russell â€“ freeCodeCamp.org Podcast Interview
304,"How To Write User Stories, Epics, & Personas - Dev Life"
306,How do computers and the internet work? - Computer Science Basics
121,CSS Full Course - Includes Flexbox and CSS Grid Tutorials
9,3 Ways to Code a BuzzFeed Clone (JavaScript + TypeScript + JSONServer + Database + API + Node.js)
316,How to Design a Website â€“ A UX Wireframe Tutorial
33,Advanced Computer Vision with Python - Full Course
435,Learn to use CodePen from a co-founder of CodePen
98,Build a Markdown Previewer with Vue.js
354,Intro to Web Design
335,How to use TypeScript in React
172,Databases In-Depth â€“ Complete Course
340,Indie Game Dev Jabrils talks AI & Anime [freeCodeCamp Podcast #118]
171,Data Visualization with D3.js - Full Tutorial Course
309,How to Build Tetris in React - GameDev Tutorial (with React Hooks!)
606,Spinners: CSS Tutorial (Day 21 of CSS3 in 30 Days)
123,CSS Shapes & Friends: upgrade your page layouts
588,SVG Filters Crash Course
30,AWS VPC Beginner to Pro - Virtual Private Cloud Tutorial
186,DevOps with GitLab CI Course - Build Pipelines and Deploy to AWS
303,How To Make a Website With WordPress (Beginners Tutorial)
43,Amazon CloudWatch: Serverless Logging and Monitoring Basics
402,Learn Go Programming by Building 11 Projects â€“ Full Course
212,Elm crash course - Building unbreakable webapps fast
537,Python Game Development Project Using OOP â€“ Minesweeper Tutorial (w/ Tkinter)
221,Figma Tutorial for UI Design - Course for Beginners
348,Intro to Cloud Computing and AWS
302,How Live Coding Changed My Life
32,Advanced C# â€“ LINQ Tutorial
486,Neural Networks with JavaScript - Full Course using Brain.js
220,Figma Course - Web Design Tutorial for Beginners
585,SQL Tutorial for Beginners (and Technical Interview Questions Solved)
416,Learn Node.js - Full Tutorial for Beginners
491,OWASP API Security Top 10 Course â€“ Secure Your Web Apps
541,Python Platformer Game Tutorial for Beginners
155,Create a Store with WordPress and AI Tutorial â€“ Real AI-Generated Products
405,Learn HTML & CSS â€“ Full Course for Beginners
72,"Bash Tutorial: How to Use the Command Line in Linux, Windows, and Mac Terminal"
656,Unreal Engine & C++ Tutorial - 1st Person Shooter Game
614,Statistics and Probability: Your first steps on the road to data science
406,Learn HTML â€“ Full Tutorial for Beginners
498,OpenGL Course - Create 3D and 2D Graphics With C++
698,"ðŸŽ® Easy JavaScript Game Development with Kaboom.js (Mario, Zelda, and Space Invaders) - Full Course"
695,iOS Development Course - Use Swift 5 and UIKit to Build a Netflix Clone
598,Sexy Typography: CSS Tutorial (Day 2 of CSS3 in 30 Days)
637,The Foundations of Entrepreneurship - Full Course
559,React Native Full Course for Beginners
684,What do computer programmers actually do?
572,Reinforcement Learning Course - Full Machine Learning Tutorial
515,Postman Beginner's Course - API Testing
679,WebGPU Tutorial - Advanced Graphics on the Web Course
474,Microsoft Security Compliance and Identity (SC-900) - Full Course PASS the Exam
211,Elasticsearch Course for Beginners
536,Python Django Web Framework - Full Course for Beginners
595,Setting up MailChimp on WordPress with plugins (plus creating a MailChimp landing page)
615,Sticky Footer: CSS Tutorial (Day 13 of CSS3 in 30 Days)
297,HashiCorp Terraform Associate Certification Course (003) - Pass the Exam!
524,Project-Based Augmented Reality Course with Unity Engine and AR Foundation
190,"Development with Large Language Models Tutorial â€“ OpenAI, Langchain, Agents, Chroma"
584,SQL Tutorial - Full Database Course for Beginners
336,How to write technical blog posts - talk by freeCodeCamp creator Quincy Larson
411,Learn JavaScript Interactively in NEW freeCodeCamp.org Curriculum
157,Create and Deploy Websites and IaC by Chatting with AI
68,Azure Developer Associate (AZ-204) â€” Full Course Pass the Exam!
201,Drum Machine with Python and Pygame â€“ Full Project Course
266,Get Productive with Python in Visual Studio Code
64,Azure AI Fundamentals Certification (AI-900) - Full Course to PASS the Exam
697,npm Tutorial for Beginners
223,Fine Tuning LLM Models â€“ Generative AI Course
593,Self-Driving Car with JavaScript Course â€“ Neural Networks and Machine Learning
0,.NET Microservices â€“ Full Course for Beginners
31,AWS for Startups - Deploying with AWS Tutorial
433,Learn the Svelte JavaScript Framework - Full Course
535,Python Django Framework Full Course - Learning with the Docs
213,"Email SaaS Course â€“ Build and Deploy with Next JS 14, Prisma, OpenAI, Stripe, TypeScript, Tailwind"
269,Git Branches Tutorial
663,Visual Studio Code Extensions to Improve Your Productivity
693,freeCodeCamp Turns 10 & Major Certification Updates
193,Django ChatGPT Clone Tutorial
427,Learn TensorFlow.js - Deep Learning and Neural Networks with JavaScript
250,"Full Stack Tutorial â€“ Fiverr Clone with NextJS, React, Convex, Typescript, Tailwind CSS, ShadCN"
512,Polyrhythms JavaScript Project Tutorial â€“ How Math Can Make Your Code Better
525,Prompt Engineering Tutorial â€“ Master ChatGPT and LLM Responses
194,Django Project â€“ Code a CRM App Tutorial
280,Google Cloud Digital Leader Certification Course - Pass the Exam!
475,Modal Window: CSS Tutorial (Day 16 of CSS3 in 30 Days)
629,TensorFlow 2.0 Crash Course
125,CSS Tutorial - Zero to Hero (Complete Course)
384,JavaScript Tutorial â€“ Code Your Own Jeopardy Game
